name,ra,dec,trigger_time,t90,fluence,trigger_name
GRB211124104,94.967,-61.433,59542.10409,0.512,5.6924E-07,bn211124104
GRB140115863,210.03,-61.41,56672.8634,14.909,3.9525E-06,bn140115863
GRB200105914,323.03,-41.18,58853.91353,16.896,3.3754E-06,bn200105914
GRB190626254,145.7,-41.11,58660.25442,23.808,1.7294E-06,bn190626254
GRB120119229,139.65,-61.33,55945.22904,41.728,5.9423E-06,bn120119229
GRB080719529,153.2,-61.3,54666.52895,16.128,7.7533E-07,bn080719529
GRB211107848,183.42,-61.22,59525.84769,8.384,5.1037E-07,bn211107848
GRB240227195,69.59,-61.17,60367.19462,1.600,4.6732E-07,bn240227195
GRB190419414,106.45,-40.13,58592.41363,212.741,0.000013705,bn190419414
GRB240226815,290.54,-40.09,60366.81467,158.723,3.8991E-06,bn240226815
GRB161213295,238.61,-40.07,57735.29517,23.296,1.1945E-06,bn161213295
GRB120304061,127.15,-61.12,55990.06098,9.984,5.0461E-06,bn120304061
GRB210621447,248.31,-61.07,59386.44727,15.616,1.0729E-06,bn210621447
GRB081006872,172.2,-61,54745.87194,3.328,3.8718E-07,bn081006872
GRB220921462,66.85,-40,59843.46249,209.988,0.000056716,bn220921462
GRB201221978,158.07,-39.92,59204.97833,7.168,1.6077E-06,bn201221978
GRB150514774,74.85,-60.91,57156.77437,10.813,4.7356E-06,bn150514774
GRB200630076,91.38,-60.789,59030.0761,7.168,6.8551E-07,bn200630076
GRB091231206,199.36,-60.7,55196.20594,42.561,9.7628E-06,bn091231206
GRB201121130,234.94,-38.88,59174.13039,15.360,1.4777E-06,bn201121130
GRB161106786,284.53,-60.65,57698.78589,12.544,1.2292E-06,bn161106786
GRB240606565,40.234,-60.637,60467.56465,11.008,3.8129E-06,bn240606565
GRB161110179,254.91,-60.62,57702.17907,1.792,1.5922E-07,bn161110179
GRB210102861,235.737,-37.222,59216.86058,83.970,0.000005985,bn210102861
GRB160424492,319.485,-60.6148,57502.49244,6.592,2.7276E-06,bn160424492
GRB081121858,89.3,-60.6,54791.85796,41.985,0.000015272,bn081121858
GRB120511638,226.93,-60.49,56058.63805,45.249,0.0000114,bn120511638
GRB130730243,133.75,-60.36,56503.24328,27.904,2.1151E-06,bn130730243
GRB190814837,60.41,-60.34,58709.83707,9.984,1.0762E-06,bn190814837
GRB130304658,178.87,-60.29,56355.65752,23.296,1.6196E-06,bn130304658
GRB190422957,182.124,-60.238,58595.95722,213.252,8.6999E-06,bn190422957
GRB220304228,244.97,-35.7,59642.22846,31.489,0.000069942,bn220304228
GRB080723557,176.8,-60.2,54670.55719,58.369,0.00007223,bn080723557
GRB080714745,188.1,-60.2,54661.74507,59.649,0.000006333,bn080714745
GRB140716436,108.173,-60.1757,56854.43608,168.253,0.000011831,bn140716436
GRB130701060,97.79,-60.13,56474.06049,20.224,7.1167E-06,bn130701060
