name,ra,dec,trigger_time,t90,fluence,trigger_name,log_t90,log_fluence,cluster_t90,cluster_fluence,cluster_both
GRB130830864,142.97,-0.55,56534.86446,83.968,1.8924e-06,bn130830864,1.9241138141956713,-5.722964111827889,0,1,0
GRB220309253,147.03,-0.55,59647.25329,62.208,1.3062e-06,bn220309253,1.79384624589149,-5.8839570731507935,0,1,0
GRB170424425,343.53,-45.2,57867.42536,53.249,2.0288e-05,bn170424425,1.726311464425194,-4.6927586231565455,0,0,0
GRB200619492,200.4,-45.13,59019.49217,50.432,4.6679e-06,bn200619492,1.702706200084929,-5.330869152626668,0,0,0
GRB211109113,252.76,-45.12,59527.11305,285.701,5.2519e-06,bn211109113,2.455911762006876,-5.279675282582558,0,0,0
GRB200129409,346.28,-44.97,58877.40884,0.112,2.8352e-07,bn200129409,-0.9507780997178265,-6.547263147313442,1,1,1
GRB111024722,162.74,-44.94,55858.72156,65.025,1.4403e-05,bn111024722,1.813080367546795,-4.841544024015926,0,0,0
GRB180720213,127.04,-0.42,58319.21252,8.896,2.4585e-05,bn180720213,0.9491948230570535,-4.609328020875554,0,0,0
GRB120611108,324.68,-44.79,56089.10834,49.921,4.5256e-06,bn120611108,1.698283285096199,-5.344314237978011,0,0,0
GRB150305724,225.12,-44.74,57086.72446,16.128,1.7217e-06,bn150305724,1.2075805416934118,-5.764017296518161,0,1,0
GRB220704575,279.86,-44.64,59764.57501,22.016,1.6383e-06,bn220704575,1.3427384362817287,-5.785580060704263,0,1,0
GRB220620261,326.87,-44.64,59750.26141,48.385,2.7082e-06,bn220620261,1.6847107543619015,-5.567303230264498,0,1,0
GRB231128489,194.05,-44.55,60276.489,78.85,3.5324e-06,bn231128489,1.896801703172778,-5.451917829479404,0,0,0
GRB240617599,333.55,0.88,60478.59908,0.128,2.2742e-08,bn240617599,-0.8927866374397453,-7.6412658728019895,1,1,1
GRB230304608,111.66,0.9,60007.60821,34.846,3.7621e-05,bn230304608,1.542152944750083,-4.424568510302228,0,0,0
GRB140817229,29.05,-44.48,56886.22919,26.112,2.3813e-06,bn140817229,1.4168401537057553,-5.623167650709193,0,1,0
GRB240318180,270.54,-44.44,60387.18043,1.216,2.7121e-07,bn240318180,0.08493393208663659,-6.566534198627709,1,1,1
GRB240109896,241.5,-44.34,60318.89644,11.264,8.8597e-07,bn240109896,1.0516926803540083,-6.052531967263209,0,1,1
GRB100517132,40.63,-44.32,55333.13183,19.84,1.2727e-06,bn100517132,1.297541689708002,-5.895239833361475,0,1,0
GRB190901890,220.3,0.93,58727.89016,473.097,6.3043e-05,bn190901890,2.6749501950295853,-4.200362439557327,0,0,0
GRB110720177,198.65,-44.29,55762.17676,11.2,5.6281e-06,bn110720177,1.0492180614464728,-5.249630478161051,0,0,0
GRB210709201,295.28,-44.22,59404.20074,30.977,2.9495e-06,bn210709201,1.4910393697757793,-5.53023687540194,0,0,0
GRB130928537,306.91,-44.19,56563.53652,132.994,1.9528e-05,bn130928537,2.1238320515583955,-4.7093400096387485,0,0,0
GRB220831550,167.3,1.01,59822.54972,12.032,3.6746e-06,bn220831550,1.080337859342519,-5.434778110637678,0,0,0
GRB151111356,56.8452,-44.1615,57337.35648,46.336,2.2064e-06,bn151111356,1.6659185495537567,-5.656296068216789,0,1,0
GRB121014638,320.36,-44.12,56214.6382,0.576,1.2954e-07,bn121014638,-0.23957676259396693,-6.887260977639827,1,1,1
GRB220826497,206.431,-44.044,59817.49679,16.64,2.1101e-06,bn220826497,1.2211533480541323,-5.6756763812994135,0,1,0
GRB210417957,157.46,2.32,59321.95679,0.832,1.598e-07,bn210417957,-0.07987615172102978,-6.796151536253765,1,1,1
GRB210404141,175.55,2.34,59308.14123,1.344,2.1673e-07,bn210404141,0.12839959185346145,-6.663880630191313,1,1,1
GRB230129254,111.94,2.35,59973.25372,0.384,1.2396e-07,bn230129254,-0.4156676446587286,-6.906368223171052,1,1,1
GRB240616382,242.98,2.35,60477.38165,9.472,9.1904e-06,bn240616382,0.9764417352291885,-5.036660860612365,0,0,0
GRB101004426,232.22,-43.99,55473.42627,161.027,9.0255e-06,bn101004426,2.2068987046163904,-5.044523917618681,0,0,0
GRB090514734,316.0333,-43.9667,54965.73397,54.401,9.5504e-06,bn090514734,1.7356068909624587,-5.019973891080477,0,0,0
GRB240305409,6.278,-43.904,60374.40927,13.056,8.7206e-07,bn240305409,1.1158101746737614,-6.059403835316378,0,1,0
GRB230628067,351.77,-43.85,60123.06668,28.673,8.3177e-06,bn230628067,1.4574731498538194,-5.079991526377989,0,0,0
GRB210812011,183.66,2.37,59438.01102,37.633,2.1444e-06,bn210812011,1.5755688520103515,-5.668673949424908,0,1,0
GRB180131528,307.06,-43.66,58149.52769,0.96,4.1244e-08,bn180131528,-0.017728314570581893,-7.383587508021029,1,1,1
GRB090928646,103.91,-43.53,55102.64566,15.616,1.9528e-06,bn090928646,1.1935698281334817,-5.709319994582137,0,1,0
GRB150418819,312.43,-43.53,57130.81909,3.84,6.4146e-07,bn150418819,0.5843313374650374,-6.1927627212837635,1,1,1
GRB180201706,251.32,-43.47,58150.70554,0.192,2.2681e-07,bn180201706,-0.7166965093519143,-6.644146364189457,1,1,1
GRB120719146,204.29,-43.45,56127.14584,75.009,1.3548e-05,bn120719146,1.8751133813927565,-4.868121606440759,0,0,0
